season,team,number,player,year,position,gp,gs,goals,assists,points,year_num,year_std,position_zone,position_group
2023-24,thompson rivers,21,alesandro comita,So,M,15,15.0,1,2,3,2,2nd,M,MID
2023-24,thompson rivers,7,dylan hooper,Sr,F,15,1.0,3,1,4,4,4th,F,FOR
2023-24,thompson rivers,22,harry taylor,So,D,15,15.0,1,1,2,2,2nd,D,DEF
2023-24,thompson rivers,5,elijah dos santos,So,D,14,14.0,0,2,2,2,2nd,D,DEF
2023-24,thompson rivers,10,patrick izett,Sr,M,14,14.0,4,4,8,4,4th,M,MID
2023-24,thompson rivers,4,dylan pauw,Jr,D,14,12.0,1,0,1,3,3rd,D,DEF
2023-24,thompson rivers,12,jonathan rinaldi,Jr,M,14,14.0,2,0,2,3,3rd,M,MID
2023-24,thompson rivers,15,marques scott,Sr,M,14,13.0,0,1,1,4,4th,M,MID
2023-24,thompson rivers,8,mikkel rosenlund,Sr,D,13,12.0,1,2,3,4,4th,D,DEF
2023-24,thompson rivers,6,akwasi agyekum,Jr,M,12,12.0,1,1,2,3,3rd,M,MID
2023-24,thompson rivers,2,domenico comita,So,D,12,4.0,0,0,0,2,2nd,D,DEF
2023-24,thompson rivers,11,jost hausendorf,Sr,F,12,7.0,0,0,0,4,4th,F,FOR
2023-24,thompson rivers,9,ryan lewis,Jr,F,12,12.0,4,1,5,3,3rd,F,FOR
2023-24,thompson rivers,16,michael ojo,So,M,12,5.0,1,1,2,2,2nd,M,MID
2023-24,thompson rivers,31,svyatik artemenko,So,GK,10,10.0,0,0,0,2,2nd,GK,GK
2023-24,thompson rivers,17,denzel marican,Sr,M,7,0.0,0,0,0,4,4th,M,MID
2023-24,thompson rivers,30,olivier jumeau,Sr,GK,6,5.0,0,0,0,4,4th,GK,GK
2023-24,thompson rivers,20,ethan furlong,Sr,D,4,0.0,0,0,0,4,4th,D,DEF
2023-24,thompson rivers,19,ryan olak,Fr,M,2,0.0,0,0,0,1,1st,M,MID
2023-24,thompson rivers,26,liam freathy,Fr,D,1,0.0,0,0,0,1,1st,D,DEF
2023-24,thompson rivers,23,soren kaczor,Fr,M,1,0.0,0,0,0,1,1st,M,MID
2023-24,thompson rivers,13,steffen masaites,Sr,D,1,0.0,0,0,0,4,4th,D,DEF
2024-25,ubc,11,brennen fuerst,So,M,15,13.0,0,3,3,2,2nd,M,MID
2024-25,ubc,35,henri godbout,Fr,F,15,14.0,7,5,12,1,1st,F,FOR
2024-25,ubc,8,chris lee,Jr,D,15,15.0,4,3,7,3,3rd,D,DEF
2024-25,ubc,12,joven mann,Fr,M,15,11.0,2,1,3,1,1st,M,MID
2024-25,ubc,1,bennett mckay,Sr,GK,15,15.0,0,0,0,4,4th,GK,GK
2024-25,ubc,13,eric lajeunesse,Jr,D,14,14.0,0,0,0,3,3rd,D,DEF
2024-25,ubc,19,jost hausendorf,Sr,F,13,4.0,2,1,3,4,4th,F,FOR
2024-25,ubc,14,oliver herbert,So,M,13,7.0,2,2,4,2,2nd,M,MID
2024-25,ubc,6,noah hrdlicka,Sr,D,13,12.0,0,1,1,4,4th,D,DEF
2024-25,ubc,28,markus kaiser,Sr,M,13,10.0,0,1,1,4,4th,M,MID
2024-25,ubc,24,luke norman,So,M,13,9.0,6,2,8,2,2nd,M,MID
2024-25,ubc,7,thomas pena,So,F,13,5.0,1,0,1,2,2nd,F,FOR
2024-25,ubc,10,connor mrazek,Sr,M,11,4.0,1,1,2,4,4th,M,MID
2024-25,ubc,4,marcus puhalj,Sr,D,11,11.0,0,1,1,4,4th,D,DEF
2024-25,ubc,26,asvin chauhan,Jr,F,10,6.0,0,1,1,3,3rd,F,FOR
2024-25,ubc,9,max comsia,Fr,F,10,7.0,3,0,3,1,1st,F,FOR
2024-25,ubc,2,lucas dasovic,Fr,D,7,7.0,0,0,0,1,1st,D,DEF
2024-25,ubc,3,joshua toma,So,D,6,1.0,0,0,0,2,2nd,D,DEF
