season,team,number,player,year,position,gp,gs,goals,assists,points
2023-24,MacEwan,5,Jakob Sievert,,M,12,12.0,0,1,1
2023-24,MacEwan,7,Rakan Yassin,,F,12,12.0,2,0,2
2023-24,MacEwan,8,Ali Yildiz,,M,12,8.0,1,1,2
2023-24,MacEwan,2,Chance Carter,,M,10,10.0,0,1,1
2023-24,MacEwan,20,Stewart Jamieson,,D,10,9.0,0,1,1
2023-24,MacEwan,31,Marko Ilich,,GK,9,9.0,0,0,0
2023-24,MacEwan,17,Felix Guité,,M,8,2.0,1,0,1
2023-24,MacEwan,3,Ernest Sungura-Bilebwa,,D,8,5.0,0,0,0
2023-24,MacEwan,18,Egzon Jetishi,,M,6,4.0,1,1,2
2023-24,MacEwan,30,David Sithole,,GK,6,5.0,0,0,0
2023-24,MacEwan,23,Sam Vieira,,,6,5.0,0,1,1
2023-24,MacEwan,19,T-boy Fayia,,D,5,5.0,0,0,0
2023-24,MacEwan,16,Zewdu Mekonnen,,F,5,0.0,0,0,0
2023-24,MacEwan,33,Brennan Kahler,,D,3,0.0,0,0,0
2023-24,MacEwan,15,Abhiroop Sandhu,,M,3,0.0,0,0,0
2023-24,MacEwan,10,Michael Enes,,M,2,1.0,0,0,0
2023-24,MacEwan,24,Ola Ojo-Mabayoje,,M,1,0.0,0,0,0
2023-24,MacEwan,27,Nick Stefansson,,D,1,0.0,0,0,0
2023-24,Thompson Rivers,21,Alesandro Comita,So,M,15,15.0,1,2,3
2023-24,Thompson Rivers,7,Dylan Hooper,Sr,F,15,1.0,3,1,4
2023-24,Thompson Rivers,22,Harry Taylor,So,D,15,15.0,1,1,2
2023-24,Thompson Rivers,5,Elijah Dos Santos,So,D,14,14.0,0,2,2
2023-24,Thompson Rivers,10,Patrick Izett,Sr,M,14,14.0,4,4,8
2023-24,Thompson Rivers,4,Dylan Pauw,Jr,D,14,12.0,1,0,1
2023-24,Thompson Rivers,12,Jonathan Rinaldi,Jr,M,14,14.0,2,0,2
2023-24,Thompson Rivers,15,Marques Scott,Sr,M,14,13.0,0,1,1
2023-24,Thompson Rivers,8,Mikkel Rosenlund,Sr,D,13,12.0,1,2,3
2023-24,Thompson Rivers,6,Akwasi Agyekum,Jr,M,12,12.0,1,1,2
2023-24,Thompson Rivers,2,Domenico Comita,So,D,12,4.0,0,0,0
2023-24,Thompson Rivers,11,Jost Hausendorf,Sr,F,12,7.0,0,0,0
2023-24,Thompson Rivers,9,Ryan Lewis,Jr,F,12,12.0,4,1,5
2023-24,Thompson Rivers,16,Michael Ojo,So,M,12,5.0,1,1,2
2023-24,Thompson Rivers,31,Svyatik Artemenko,So,GK,10,10.0,0,0,0
2023-24,Thompson Rivers,17,Denzel Marican,Sr,M,7,0.0,0,0,0
2023-24,Thompson Rivers,30,Olivier Jumeau,Sr,GK,6,5.0,0,0,0
2023-24,Thompson Rivers,20,Ethan Furlong,Sr,D,4,0.0,0,0,0
2023-24,Thompson Rivers,19,Ryan Olak,Fr,M,2,0.0,0,0,0
2023-24,Thompson Rivers,26,Liam Freathy,Fr,D,1,0.0,0,0,0
2023-24,Thompson Rivers,23,Soren Kaczor,Fr,M,1,0.0,0,0,0
2023-24,Thompson Rivers,13,Steffen Masaites,Sr,D,1,0.0,0,0,0
2024-25,UBC,11,Brennen Fuerst,So,M,15,13.0,0,3,3
2024-25,UBC,35,Henri Godbout,Fr,F,15,14.0,7,5,12
2024-25,UBC,8,Chris Lee,Jr,D,15,15.0,4,3,7
2024-25,UBC,12,Joven Mann,Fr,M,15,11.0,2,1,3
2024-25,UBC,1,Bennett McKay,Sr,GK,15,15.0,0,0,0
2024-25,UBC,13,Eric Lajeunesse,Jr,D,14,14.0,0,0,0
2024-25,UBC,19,Jost Hausendorf,Sr,F,13,4.0,2,1,3
2024-25,UBC,14,Oliver Herbert,So,M,13,7.0,2,2,4
2024-25,UBC,6,Noah Hrdlicka,Sr,D,13,12.0,0,1,1
2024-25,UBC,28,Markus Kaiser,Sr,M,13,10.0,0,1,1
